"postcode","value"
"1010",5
"1502",2
"2000",53
"2010",4
"2016",2
"2018",4
"2019",1
"2026",2
"2029",2
"2031",2
"2032",10
"2035",16
"2040",5
"2042",5
"2043",2
"2044",4
"2045",3
"2065",2
"2067",4
"2077",2
"2089",4
"2093",7
"2099",4
"2112",10
"2114",4
"2116",5
"2119",4
"2122",1
"2126",12
"2128",5
"2132",3
"2135",7
"2138",2
"2140",8
"2141",11
"2143",4
"2145",6
"2146",4
"2147",8
"2148",10
"2150",8
"2151",5
"2152",8
"2153",25
"2154",11
"2155",25
"2160",6
"2161",3
"2164",8
"2166",2
"2168",5
"2170",7
"2192",6
"2196",2
"2204",1
"2206",3
"2207",1
"2212",9
"2216",4
"2217",7
"2218",5
"2219",2
"2220",19
"2223",1
"2224",10
"2229",3
"2230",5
"2232",2
"2560",4
"2570",2
"2745",4
"2750",21
"2756",4
"2759",2
"2760",12
"2761",10
"2763",2
"2765",4
"2766",2
"2767",2
"2768",3
"2770",14
"2774",3
"2777",5
"2782",5
"2790",3
"287m",1
"3000",3
"4000",2
"4105",4
"4218",2
"8507",1
