"postcode","value"
"1765",2
"2000",33
"2009",6
"2010",2
"2011",1
"2018",4
"2020",6
"2023",6
"2026",2
"2035",1
"2036",1
"2040",3
"2041",3
"2042",2
"2043",1
"2049",3
"2061",2
"2064",5
"2065",3
"2067",2
"2068",1
"2071",1
"2073",1
"2074",4
"2086",6
"2090",1
"2094",1
"2095",1
"2096",1
"2100",1
"2101",1
"2103",1
"2111",4
"2112",1
"2113",2
"2114",2
"2117",2
"2119",2
"2122",1
"2126",4
"2127",3
"2130",1
"2137",5
"2145",7
"2151",2
"2153",2
"2155",1
"2162",1
"2170",7
"2205",1
"2206",1
"2207",1
"2208",12
"2211",2
"2212",1
"2213",1
"2217",3
"2220",2
"2223",1
"2225",2
"2227",8
"2232",2
"2251",2
"2257",1
"2261",1
"2281",2
"2291",1
"2298",1
"2390",12
"2460",1
"2500",2
"2518",2
"2558",2
"2560",3
"2565",1
"2571",2
"2611",12
"2745",1
"2747",1
"2759",2
"2761",2
"2763",2
"3000",1
"3145",1
"6163",1
"Finn",1
