postcode,value
" ",1
1001,2
2000,76
2007,4
2009,5
2010,3
2011,2
2012,1
2016,1
2018,2
2020,4
2021,2
2026,4
2031,1
2032,3
2033,1
2035,1
2038,1
2040,1
2050,1
2060,1
2064,4
2065,1
2066,2
2067,4
2068,1
2069,1
2070,1
2071,3
2073,5
2075,1
2077,4
2087,1
2088,2
2089,1
2090,1
2095,1
2097,1
2099,2
2100,2
2105,2
2112,4
2113,3
2114,2
2115,2
2117,2
2118,2
2119,1
2121,5
2122,22
2126,1
2127,2
2130,1
2131,6
2132,3
2134,1
2135,4
2137,1
2138,4
2141,2
2142,1
2144,1
2145,6
2147,2
2148,3
2150,1
2153,1
2154,2
2155,3
2160,2
2161,1
2162,3
2165,1
2168,2
2170,3
2171,1
2173,1
2176,7
2177,1
2179,1
2192,1
2194,6
2195,1
2197,2
2199,1
2204,1
2207,4
2208,7
2210,1
2211,3
2216,1
2217,1
2219,1
2220,14
2221,1
2222,1
2224,1
2227,1
2228,1
2229,1
2232,1
2250,1
2251,1
2259,2
2261,1
2290,1
2322,2
2423,3
2518,3
2533,1
2539,1
2540,1
2560,1
2565,1
2566,2
2574,1
2576,1
2612,2
2617,2
2745,1
2756,1
2759,1
2761,1
2762,1
2763,1
2766,1
2768,2
2769,2
2770,1
2800,1
3000,4
3006,1
3163,1
4000,1
4017,4
4102,1
4103,1
4112,1
4115,1
5000,3
5032,1
5085,1
5108,1
5700,1
6024,1
6230,2
