postcode,value
" ",13
1765,1
2000,71
2008,9
2021,1
2025,2
2037,2
2076,3
2093,5
2113,19
2119,1
2122,18
2123,4
2141,50
2142,32
2143,2
2144,18
2145,85
2146,4
2148,6
2150,24
2153,20
2154,8
2160,11
2161,10
2162,93
2164,5
2165,11
2166,15
2167,9
2168,44
2170,337
2171,26
2172,5
2173,17
2176,8
2177,1
2195,10
2196,4
2197,17
2198,3
2199,6
2200,69
2204,12
2210,11
2212,8
2220,2
2230,2
2287,1
2324,2
2485,1
2500,2
2557,2
2560,3
2564,73
2565,58
2566,18
2567,5
2570,2
2745,7
2747,98
2749,12
2750,8
2760,60
2763,4
2765,10
2766,6
2767,9
2769,2
2770,46
4211,8
5114,6
6104,2
