postcode,value
1001,1
19958,1
2000,35
2017,4
2018,1
2019,1
2026,2
2031,1
2033,3
2035,2
2036,3
2073,1
2095,1
2111,1
2116,1
2118,1
2121,2
2122,1
2131,1
2135,1
2141,1
2144,1
2145,1
2148,3
2150,1
2154,1
2158,2
2161,3
2162,3
2163,2
2164,6
2165,1
2168,8
2170,2
2171,3
2190,10
2194,1
2196,1
2199,1
2200,1
2204,2
2205,2
2206,1
2207,4
2208,1
2209,4
2210,17
2212,1
2216,3
2217,1
2218,3
2219,5
2220,6
2221,1
2222,1
2223,1
2227,1
2228,1
2229,3
2230,2
2231,2
2232,1
2233,3
2234,4
2257,2
2320,1
2570,2
2577,1
2617,1
2745,1
2747,1
2754,1
2756,1
2759,1
2763,2
2768,1
2774,3
2790,5
3000,1
3850,1
4000,1
4005,1
