postcode,value
1060,1
2000,46
2011,3
2029,1
2032,2
2035,8
2041,1
2046,2
2060,6
2061,1
2062,1
2063,5
2064,3
2065,14
2066,4
2067,1
2068,4
2069,1
2070,3
2072,1
2073,1
2074,4
2075,2
2076,3
2077,2
2085,2
2087,4
2088,7
2089,3
2090,4
2092,3
2093,1
2099,1
2100,1
2101,2
2103,1
2106,2
2111,4
2112,2
2113,2
2116,2
2117,3
2118,1
2119,3
2121,4
2122,2
2125,5
2130,4
2131,1
2134,3
2136,1
2142,1
2146,12
2150,1
2153,1
2155,1
2157,3
2158,4
2161,4
2166,1
2168,1
2196,1
2197,1
2203,1
2213,1
2251,1
2260,1
2285,1
2289,1
2747,1
2752,1
2904,2
3000,1
4217,1
6011,3
"A94 ",1
