postcode,value
0411,1
1001,1
1715,1
2000,8
2010,2
2025,1
2027,1
2034,3
2035,1
2042,1
2047,2
2061,1
2065,1
2074,1
2077,2
2084,2
2085,1
2087,1
2097,1
2101,2
2102,1
2112,2
2113,1
2114,1
2116,1
2117,1
2118,1
2122,1
2126,1
2131,1
2133,1
2135,1
2137,1
2140,1
2142,1
2147,1
2153,2
2154,3
2155,2
2156,1
2158,1
2171,1
2195,1
2205,1
2206,2
2208,1
2211,1
2212,1
2218,1
2219,1
2226,4
2227,2
2234,7
2259,1
2260,1
2300,1
2320,1
2322,1
2517,2
2527,1
2571,1
2580,1
2745,1
2749,1
2760,2
2761,1
2767,1
2768,3
2770,1
2800,2
3000,1
3975,3
4005,1
4165,1
4208,1
4802,1
