postcode,value
1001,2
1481,1
2000,33
2008,1
2009,1
2010,1
2012,1
2022,2
2026,1
2030,2
2031,1
2035,3
2036,1
2040,1
2041,2
2043,1
2044,1
2045,1
2046,2
2047,1
2049,1
2050,1
2060,2
2061,2
2064,1
2065,1
2074,2
2077,1
2086,2
2089,1
2093,1
2094,1
2097,1
2107,1
2111,1
2121,1
2125,1
2131,4
2132,1
2135,1
2137,1
2138,1
2144,1
2145,4
2147,1
2148,4
2150,5
2154,2
2155,2
2160,1
2165,2
2167,1
2168,1
2171,1
2176,2
2195,2
2196,2
2199,2
2200,1
2203,1
2204,1
2206,3
2207,1
2209,1
2210,2
2211,1
2212,5
2217,1
2224,1
2226,2
2227,1
2228,1
2229,2
2232,1
2233,1
2234,3
2250,2
2251,1
2260,1
2261,2
2263,1
2280,1
2287,3
2371,1
2489,4
2500,1
2518,1
2560,2
2564,1
2565,1
2566,2
2570,1
2603,1
2604,1
2756,1
2760,1
2761,1
2763,1
2765,1
2768,1
2777,5
2905,1
3000,2
3074,1
3143,1
3174,1
4034,1
4173,1
4216,1
5024,1
5090,1
5159,1
6021,1
6101,5
6112,1
800,1
