postcode,value
0000,2
1001,9
1052,1
1481,1
1499,1
1680,3
1710,2
1755,3
2000,375
2001,2
2002,4
2006,1
2007,9
2008,4
2009,10
2010,31
2011,13
2015,3
2016,9
2017,18
2018,13
2019,12
2020,26
2021,9
2022,10
2024,11
2025,4
2026,18
2027,9
2028,2
2029,7
2030,15
2031,18
2032,12
2033,21
2034,11
2035,35
2036,10
2037,8
2038,1
2039,5
2040,17
2041,11
2042,3
2043,5
2044,4
2045,2
2046,28
2047,12
2048,3
2049,2
2050,7
2059,1
2060,14
2061,6
2062,1
2063,4
2064,10
2065,25
2066,23
2067,18
2068,5
2069,4
2070,3
2071,12
2072,5
2073,2
2074,21
2075,15
2076,12
2077,15
2079,4
2081,2
2082,1
2085,9
2086,9
2087,13
2088,3
2089,20
2090,8
2092,2
2093,4
2095,7
2096,2
2097,4
2099,9
2100,6
2101,4
2102,4
2103,4
2106,3
2107,1
2108,3
2110,3
2111,14
2112,37
2113,24
2114,14
2115,5
2116,3
2117,13
2118,31
2119,5
2120,6
2121,25
2122,17
2123,1
2125,21
2126,9
2127,9
2128,2
2130,2
2131,15
2132,4
2133,10
2134,40
2135,18
2136,1
2137,16
2138,13
2140,5
2141,12
2142,17
2143,8
2144,9
2145,28
2146,3
2147,11
2148,20
2150,26
2151,10
2152,1
2153,57
2154,27
2155,28
2156,11
2158,6
2159,4
2160,7
2161,10
2162,8
2163,2
2164,6
2165,4
2166,14
2167,2
2168,7
2170,35
2171,9
2172,1
2173,7
2174,2
2176,20
2177,6
2178,2
2190,9
2191,4
2193,10
2194,10
2195,5
2196,18
2197,5
2198,7
2199,9
2200,22
2203,13
2204,18
2205,21
2206,16
2207,56
2208,5
2209,25
2210,30
2211,15
2212,1
2213,15
2214,2
2216,28
2217,21
2218,8
2219,21
2220,47
2221,17
2222,7
2223,8
2224,5
2225,3
2226,3
2227,8
2228,5
2229,17
2230,9
2232,16
2233,7
2234,11
2250,6
2251,7
2257,1
2259,5
2260,4
2261,11
2263,3
2267,1
2280,1
2282,3
2283,3
2287,1
2290,1
2291,1
2293,1
2299,2
2300,2
2304,1
2324,1
2428,1
2444,1
2456,1
2487,1
2500,4
2515,1
2517,1
2529,2
2533,1
2540,1
2557,2
2558,3
2560,21
2564,1
2565,10
2566,4
2567,10
2570,5
2571,2
2575,1
2576,3
2600,3
2601,5
2602,1
2609,3
2612,1
2620,2
2641,1
2745,8
2747,2
2750,1
2753,1
2756,3
2759,6
2760,2
2761,28
2762,1
2763,4
2765,2
2766,3
2767,2
2768,27
2769,1
2770,9
2774,2
2777,2
2782,1
2795,1
2798,1
2906,1
2916,1
3000,17
3030,2
3056,1
3066,1
3082,1
3109,1
3141,1
3178,1
3219,1
3338,2
3585,2
3685,1
4000,2
4031,1
4060,1
4067,1
4102,1
4123,1
4215,1
4216,2
4285,2
4306,1
4431,1
4561,3
4567,1
4607,1
5096,1
5109,1
5115,1
5491,1
6000,1
6007,2
6010,1
6059,1
6062,3
6069,1
6150,1
6160,1
6163,2
8011,1
Comm,1
Hp19,1
Kris,2
