"postcode","value"
"1001",2
"1675",1
"2000",8
"2007",1
"2010",1
"2018",2
"2021",1
"2022",2
"2027",2
"2028",1
"2031",2
"2033",1
"2034",2
"2035",2
"2040",1
"2042",1
"2044",1
"2046",3
"2047",1
"2048",1
"2049",3
"2060",2
"2062",1
"2065",2
"2071",2
"2075",2
"2087",1
"2088",1
"2093",2
"2095",1
"2096",1
"2099",1
"2101",1
"2116",1
"2118",1
"2121",1
"2141",2
"2142",1
"2145",2
"2150",2
"2151",1
"2152",1
"2153",1
"2160",1
"2176",8
"2177",1
"2197",2
"2200",1
"2220",1
"2223",1
"2227",1
"2229",1
"2233",2
"2234",1
"2261",1
"2285",2
"2518",1
"2560",2
"2747",5
"2750",1
"3152",1
"3218",1
"4209",1
"5157",1
"Bday",1
"char",1
"Pa20",1
