postcode,value
" ",28
00100,2
0600,19
0602,5
0604,14
0610,8
0612,13
0614,2
0626,1
0629,5
0800,8
0810,2
0Bli,3
1001,108
1010,617
1025,2
1026,13
1041,9
1042,6
1051,4
1081,2
10Ho,1
1119,2
1141,1
1150,5
1455,4
1460,1
1481,2
1485,7
1595,3
1675,5
1680,6
1710,4
1715,9
1750,24
1765,1
1800,2
2000,1934
2001,8
2002,69
2007,39
2008,38
2009,39
2010,58
2011,32
2013,9
2014,4
2015,30
2016,18
2017,122
2018,35
2019,9
2020,50
2021,12
2022,53
2023,4
2024,13
2025,25
2026,211
2027,20
2028,4
2029,37
2030,140
2031,103
2032,37
2033,50
2034,79
2035,97
2036,57
2037,17
2038,4
2039,10
2040,39
2041,12
2042,35
2043,7
2044,18
2045,2
2046,83
2047,31
2048,5
2049,16
2050,47
2057,18
2060,25
2061,11
2062,61
2063,1
2064,19
2065,65
2066,48
2067,109
2068,9
2069,20
2070,56
2071,13
2072,15
2073,51
2074,20
2075,17
2076,34
2077,73
2079,2
2081,5
2082,8
2085,3
2086,12
2087,42
2088,17
2089,34
2090,10
2092,1
2093,21
2095,7
2096,3
2097,2
2099,38
2100,26
2101,9
2102,1
2103,1
2106,2
2110,16
2111,17
2112,80
2113,72
2114,29
2115,24
2116,25
2117,41
2118,55
2119,13
2120,30
2121,74
2122,137
2123,11
2124,3
2125,22
2126,39
2127,61
2128,8
2130,5
2131,50
2132,33
2133,108
2134,136
2135,106
2136,11
2137,75
2138,45
2140,68
2141,175
2142,125
2143,34
2144,78
2145,310
2146,14
2147,56
2148,82
2150,185
2151,67
2152,33
2153,111
2154,74
2155,62
2156,2
2158,1
2160,89
2161,24
2162,170
2163,4
2164,27
2165,66
2166,70
2167,19
2168,105
2170,569
2171,94
2172,5
2173,46
2174,2
2176,36
2177,24
2178,9
2179,5
2190,85
2191,10
2192,28
2193,22
2194,68
2195,91
2196,69
2197,33
2198,24
2199,42
2200,163
2203,17
2204,30
2205,31
2206,44
2207,49
2208,24
2209,60
2210,55
2211,53
2212,26
2213,31
2214,5
2216,67
2217,40
2218,57
2219,4
2220,175
2221,27
2222,15
2223,21
2224,46
2226,10
2227,13
2228,14
2229,24
2230,24
2231,4
2232,38
2233,4
2234,22
