postcode,value
" ",6
0000,3
00124,1
0101,3
0110,3
0118,2
0171,1
0411,1
0602,1
0604,2
0614,1
0620,1
0622,1
0626,1
0629,1
0630,5
0632,1
0720,3
0800,3
0820,1
0860,1
0880,1
0910,2
0930,1
1001,29
1002,2
1010,245
1021,3
1023,1
1024,2
1025,1
1041,1
1042,1
1050,2
1051,5
1052,2
1060,1
1071,3
1142,1
1226,1
1234,1
1235,1
1300,8
1435,3
1450,1
1455,1
1481,3
1499,2
1570,2
1642,1
1680,4
170,1
1710,3
1715,2
1755,4
1825,1
1875,2
19958,1
2000,1109
2001,2
2002,18
2006,1
2007,10
2008,14
2009,23
2010,54
2011,35
2014,3
2015,14
2016,16
2017,43
2018,22
2019,23
2020,41
2021,20
2022,20
2023,2
2024,14
2025,8
2026,38
2027,13
2028,3
2029,16
2030,27
2031,42
2032,23
2033,29
2034,32
2035,81
2036,49
2037,16
2038,3
2039,12
2040,26
2041,24
2042,10
2043,6
2044,10
2045,5
2046,54
2047,27
2048,10
2049,13
2050,15
2052,2
2055,1
2057,3
2059,2
2060,36
2061,15
2062,11
2063,11
2064,32
2065,60
2066,46
2067,40
2068,38
2069,21
2070,16
2071,21
2072,14
2073,13
2074,40
2075,39
2076,44
2077,47
2079,10
2081,7
2082,6
2084,14
2085,24
2086,16
2087,24
2088,35
2089,51
2090,20
2092,10
2093,14
2094,1
2095,17
2096,16
2097,16
2099,45
2100,17
2101,21
2102,10
2103,11
2104,1
2106,11
2107,7
2108,3
2110,21
2111,40
2112,62
2113,52
2114,33
2115,13
2116,12
2117,29
2118,57
2119,19
2120,20
2121,65
2122,41
2123,1
2125,36
2126,34
2127,69
2128,5
2129,2
2130,13
2131,35
2132,8
2133,19
2134,51
2135,44
2136,17
2137,55
2138,29
2140,22
2141,25
2142,24
2143,23
2144,16
2145,67
2146,22
2147,39
2148,49
2150,43
2151,30
2152,7
2153,112
2154,72
2155,65
2156,31
2157,4
2158,22
2159,8
2160,26
2161,23
2162,19
2163,7
2164,25
2165,10
2166,24
2167,3
2168,30
2170,85
2171,35
2172,2
2173,20
2174,2
2176,46
2177,12
2178,2
2179,3
2190,49
2191,5
2192,1
2193,20
2194,21
2195,13
2196,34
2197,14
2198,15
2199,25
2200,35
2203,24
2204,63
2205,38
2206,33
2207,93
2208,14
2209,36
2210,88
2211,37
2212,25
2213,54
2214,12
2216,54
2217,58
2218,35
2219,43
2220,92
2221,40
2222,20
2223,32
2224,21
2225,11
2226,25
2227,32
2228,25
2229,73
2230,51
2231,4
2232,51
2233,41
2234,69
2250,26
2251,23
2256,1
2257,11
2259,16
2260,22
2261,18
2262,1
2263,4
2264,2
2267,2
2278,2
2280,7
2281,2
2282,12
2283,6
2284,2
2285,10
2287,18
2289,2
2290,10
2291,2
2293,2
2295,4
2298,1
2299,3
2300,3
2303,3
2304,1
2305,2
23061,1
2307,1
2315,4
2317,1
2319,1
2320,6
2322,1
2323,2
2324,2
2325,6
2326,1
2330,3
2333,1
2340,1
2353,1
2358,1
2360,1
2370,1
2379,1
2428,1
2430,3
2431,1
2443,2
2444,6
2445,2
2446,1
2448,1
2450,4
2456,1
2462,1
2478,4
2479,1
2480,1
2481,1
2482,1
2484,1
2485,5
2486,2
2487,1
2489,1
2500,16
2502,4
2508,8
2515,3
2517,3
2518,6
2519,1
2520,2
2525,4
2526,1
2527,2
2528,3
2529,5
2530,5
2533,3
2534,3
2535,3
2536,3
2539,2
2540,7
2541,1
2550,2
2557,2
2558,8
2560,51
2564,5
2565,22
2566,17
2567,38
2568,2
2569,1
2570,19
2571,7
2573,2
2574,3
2575,6
2576,5
2577,3
2578,3
2579,1
2580,1
2586,1
2600,8
2601,7
2602,6
2603,10
2604,5
2605,4
2606,3
2607,7
2609,4
2611,12
2612,4
2614,5
2615,14
2617,17
2619,6
2620,6
2621,1
2640,2
2641,2
2646,1
2650,2
2713,1
2745,27
2747,22
2749,4
2750,12
2752,4
2753,5
2754,1
2756,19
2757,2
2758,2
2759,21
2760,13
2761,53
2762,3
2763,22
2765,11
2766,11
2767,10
2768,50
2769,2
2770,19
2774,8
2775,3
2776,1
2777,4
2780,1
2782,2
2786,1
2790,5
2795,1
2798,1
2800,3
2820,2
2830,1
2850,4
2900,4
2901,1
2902,8
2903,1
2904,7
2905,5
2906,7
2911,2
2912,2
2913,12
2914,6
2916,1
3,2
3000,284
3002,3
3003,3
3004,7
3006,12
3008,5
3010,3
3011,9
3012,14
3013,5
3015,3
3016,10
3018,12
3019,1
3020,10
3021,12
3022,1
3023,35
3024,2
3025,4
3027,2
3028,8
3029,25
3030,48
3031,4
3032,19
3033,12
3034,11
3036,3
3037,43
3038,26
3039,12
3040,16
3041,5
3042,4
3043,8
3044,14
3046,17
3047,1
3048,4
3049,13
3051,7
3052,1
3053,6
3054,7
3055,8
3056,8
3057,1
3058,10
3059,13
3060,3
3064,17
3065,1
3066,4
3067,4
