"postcode","value"
"-",1
"0231",1
"0800",1
"0810",11
"0811",1
"0812",1
"0820",6
"0822",1
"0830",4
"0832",2
"0838",1
"0839",1
"0850",1
"0851",1
"0853",1
"0870",3
"0871",1
"0872",3
"0885",1
"0886",1
"1000",3
"1001",1
"1010",1
"1012",1
"1015",2
"1024",1
"1026",1
"1031",1
"1035",1
"1041",1
"1050",2
"1051",1
"1052",2
"1054",1
"106",1
"1069",1
"1071",2
"1081",1
"1091",1
"1098",1
"1100",1
"1101",1
"111",1
"1111",3
"112",1
"1126",1
"1142",2
"1200",1
"1213",1
"123123",1
"1234",7
"1240",1
"1260",1
"1309",1
"1368",1
"1465",1
"1470",1
"1480",1
"1490",1
"1495",1
"1501",2
"1550",2
"1580",1
"1585",1
"1590",1
"1600",1
"1618",1
"1630",2
"1638",1
"1640",1
"1660",1
"1675",1
"1700",1
"2",1
"2000",14319
"2001",7
"2006",1
"2007",16
"2008",14
"2009",44
"2010",104
"2011",55
"2014",2
"2015",42
"2016",28
"2017",75
"2018",50
"2019",44
"202",1
"2020",52
"2021",39
"2022",56
"2023",23
"2024",34
"2025",24
"2026",130
"2027",15
"2028",18
"2029",36
"2030",45
"2031",103
"2032",34
"2033",32
"2034",81
"2035",140
"2036",108
"2037",35
"2038",19
"2039",30
"2040",55
"2041",40
"2042",47
"2043",40
"2044",27
"2045",13
"2046",100
"2047",40
"2048",18
"2049",30
"2050",23
"2052",1
"2055",3
"2057",2
"2059",1
"2060",76
"2061",18
"2062",21
"2063",12
"2064",23
"2065",108
"2066",89
"2067",54
"2068",44
"2069",32
"207",1
"2070",32
"2071",25
"2072",10
"2073",33
"2074",43
"2075",50
"2076",57
"2077",87
"2079",14
"2080",1
"2081",16
"2082",25
"2083",6
"2084",12
"2085",26
"2086",35
"2087",27
"2088",64
"2089",51
"2090",45
"2092",22
"2093",73
"2094",18
"2095",50
"2096",44
"2097",59
"2099",130
"210",1
"2100",74
"2101",71
"2102",28
"2103",57
"2104",8
"2105",5
"2106",32
"2107",51
"2108",4
"2109",1
"2110",22
"2111",55
"2112",92
"2113",77
"2114",54
"2115",37
"2116",28
"2117",40
"2118",46
"2119",34
"212",1
"2120",58
"2121",46
"2122",51
"2123",1
"2125",52
"2126",52
"2127",58
"2128",7
"2130",15
"2131",45
"2132",30
"2133",37
"2134",22
"2135",39
"2136",14
"2137",101
"2138",59
"2140",32
"2141",48
"2142",46
"2143",21
"2144",36
"2145",162
"2146",38
"2147",87
"2148",139
"2149",2
"2150",56
"2151",68
"2152",32
"2153",178
"2154",111
"2155",202
"2156",47
"2157",10
"2158",32
"2159",7
"2160",66
"2161",58
"2162",30
"2163",14
"2164",46
"2165",55
"2166",49
"2167",15
"2168",67
"2170",221
"2171",91
"2172",9
"2173",51
"2174",11
"2175",1
"2176",106
"2177",24
"2178",9
"2179",24
"2182",1
"2188",2
"2190",57
"2191",21
"2192",24
"2193",37
"2194",27
"2195",27
"2196",67
"2197",21
"2198",18
"2199",38
"22-Apr",1
"2200",80
"2203",27
"2204",70
"2205",58
"2206",52
"2207",60
"2208",29
"2209",44
"2210",82
"2211",62
"2212",38
"2213",83
"2214",25
"2216",76
"2217",75
"22172",1
"2218",40
"2219",50
"2220",62
"2221",50
"2222",40
"2223",58
"2224",52
"2225",20
"2226",60
"2227",58
"2228",79
"2229",136
"2230",138
"2231",9
"2232",133
"2233",126
"2234",135
"2245",1
"2248",1
"2250",212
"2251",138
"2252",1
"2253",1
"2256",28
"2257",88
"2258",21
"2259",180
"2260",109
